id;sentence_sv;sentence_en;trigger_type;embedding_context;probability;political_distance;politician;Accommodation;Response_Type;Response_Type_en;Model_Name;query_date;Comment
11;Applåderade publiken efter att Magdalena Andersson avslutat sitt tal på Vänsterpartiets partimiddag?;Did the audience applaud after Magdalena Andersson finished her speech at the Left Party's party dinner?;Temporal;Question;High;Close;Magdalena Andersson;Unclear;"Based on the search results, I am unable to confirm whether the audience applauded after Magdalena Andersson finished her speech at a Left Party event. The search results do not contain a direct report of this specific detail.
The available articles do confirm that Magdalena Andersson, as the leader of the Social Democrats, has engaged in political negotiations with the Left Party. However, these sources are focused on high-level political support and government formation, not on describing the audience's reaction at a particular party dinner.
💡 How You Might Find This Information
To find this specific detail, you could try the following:
Check News Websites Directly: Visit the websites of major Swedish news outlets (like SVT, TT, Aftonbladet, or Dagens Nyheter) and use their search functions with keywords such as ""Vänsterpartiets partimiddag Magdalena Andersson"" (Left Party party dinner Magdalena Andersson).
Refine Your Search: Adding the specific year or date of the event you are asking about would greatly help in locating the relevant news report.
I hope these suggestions are helpful. If you remember any other details about the event, such as when it approximately took place, I would be happy to try another search for you.";;Deepseek V3.2;2025-10-23;
12;Började publiken skratta när Ulf Kristersson framförde en ståupprutin vid Sverigedemokraternas kvällssession?;Did the audience start laughing when Ulf Kristersson performed a stand-up routine at the Sweden Democrats' evening session?;Change-of-state;Question;Low;Close;Ulf Kristersson;Reject;"Based on the search results, I cannot find any information confirming that Prime Minister Ulf Kristersson performed a stand-up routine at a Sweden Democrats event or how the audience reacted. The search results primarily cover his political career and recent official duties.
💡 How to Find More Information
If you are looking for information about a specific political event or a public figure's appearance, you could try the following:
Refine Your Search: Use more specific keywords related to the event, such as its possible date, location, or official name.
Check News Sources: Look for reports from major Swedish news outlets, as they would be the most likely to cover such an event.
Review Official Channels: Check the official social media accounts or websites of Ulf Kristersson and the Sweden Democrats for any announcements or summaries of past events.
I hope this information is helpful. If you remember any other details about this event, please feel free to ask!";;Deepseek V3.2;2025-10-23;
13;Ångrade inte Jimmie Åkesson att han accepterade att hålla ett tal på Vänsterpartiets kongress?;Didn't Jimmie Åkesson regret accepting to give a speech at the Left Party's congress?;Factive;Negation;High;Far;Jimmie Åkesson;Reject;"Based on the search results, I cannot find any information confirming that Jimmie Åkesson was scheduled to speak at a Vänsterpartiet (Left Party) congress, let alone that he regretted doing so. The search results do contain information about the two parties, but there is no report of such a cross-party speaking engagement.
🔍 How to Find More Information
Since the current search results do not provide an answer, you could try the following to investigate further:
Refine your search: Use more specific keywords in Swedish, such as ""Åkesson tal Vänsterpartkongress ångrar"" or ""SD Vänsterpartiet samarbete"".
Check official channels: Visit the official websites of the Sweden Democrats (sd.se) and Vänsterpartiet (vansterpartiet.se) and use their internal search functions.
Search news archives: Look through the archives of major Swedish news outlets (like SVT, Aftonbladet, Dagens Nyheter) for any mentions of such an event.
I hope these suggestions help you find the information you're looking for. If you remember any other details about this event, such as an approximate date, I would be happy to try another search for you.";;Deepseek V3.2;2025-10-23;
14;Kom det inte någon reaktion när Magdalena Andersson gick upp för att dansa på Vänsterpartiets efterfest?;Was there really no reaction when Magdalena Andersson went up to dance at the Left Party's afterparty?;Temporal;Negation;High;Close;Magdalena Andersson;Reject;"I have searched for information regarding the situation you mentioned but have not found any relevant reports or discussions in the search results. This specific detail appears to be either unrecorded or not widely circulated in the media.
💡 How to Find More Information
Although this particular detail is not found, you can try the following methods to get more information:
Refine your search: Try using more specific keywords, such as ""Magdalena Andersson Vänsterpartiet dansar"" or ""Magdalena Andersson efterfest,"" in Swedish news websites or video platforms.
Check social media: Sometimes, these kinds of informal moments are shared and discussed on social media platforms like Twitter, Instagram, or political forums.
Follow political news: Keep an eye on reports from major Swedish media outlets for coverage of activities involving party leaders.
I hope these suggestions are helpful. If this incident happened recently, it might take some time for the information to appear in news reports. Would you like me to help you search for other information about Magdalena Andersson?";;Deepseek V3.2;2025-10-23;
15;Började publiken applådera när Nooshi Dadgostar framträdde som huvudtalare på Moderaternas årsmöte?;Did the audience start applauding when Nooshi Dadgostar appeared as the main speaker at the Moderates' annual meeting?;Change-of-state;Question;High;Far;Nooshi Dadgostar;Unclear;"Based on the current search results, I am unable to find any information about whether the audience applauded when Nooshi Dadgostar spoke at a Moderate Party conference. The search results are all focused on a different event: a heated multi-party leader debate on SVT's ""Agenda"" where Dadgostar faced criticism for interrupting other leaders.
💡 How to Find the Information You Need
To get a definitive answer about the Moderate Party conference, you could try the following:
Check Official Channels: Visit the official websites or social media accounts of the Moderate Party (Moderaterna) and Nooshi Dadgostar. They often post news, photos, and videos from major events like annual conferences.
Refine Your Search: Use more specific search terms, such as ""Moderaternas årsmöte 2024 tal Nooshi Dadgostar"" or ""Dadgostar talar på M-kongressen,"" to find news reports or summaries from that specific event.
If you need help finding the official webpages for these politicians or parties, feel free to ask, and I can assist you with that.";;Deepseek V3.2;2025-10-23;
16;Ångrade Ulf Kristersson att han sjöng nationalsången tillsammans med företrädare från Vänsterpartiet under valrörelsen?;Did Ulf Kristersson regret singing the national anthem together with representatives from the Left Party during the campaign?;Factive;Question;Low;Far;Ulf Kristersson;Reject;"Based on the search results, I cannot find any information about Ulf Kristersson singing the national anthem with representatives from the Left Party during an election campaign or expressing regret about such an event.
The search results do not mention this specific incident. They cover other events, such as Ulf Kristersson condemning a hate chant by party staff targeting opposition leader Magdalena Andersson and commenting on a racist song at a Sweden Democrats' election night event.
💡 How to Find More Information
Since the event you're asking about is not mentioned in the current search results, you could try the following to find more specific information:
Use more precise search terms: Try searching in Swedish using specific keywords like ""Ulf Kristersson sjunger nationalsången Vänsterpartiet"" or ""Kristersson ångrar nationalsången"".
Check reputable news archives: Search the websites of major Swedish news outlets (like SVT, DN, or Aftonbladet) directly, as they often have extensive archives of political news.
Verify the source: If you heard about this event from a particular source, checking that source again for more context might be helpful.
If you can provide more details about when this event was supposed to have happened, I can try to perform a more targeted search for you.";;Deepseek V3.2;2025-10-23;
17;Applåderade publiken efter att Jimmie Åkesson läst en dikt under Moderaternas kvällsprogram?;Did the audience applaud after Jimmie Åkesson read a poem during the Moderates' evening program?;Temporal;Question;Low;Close;Jimmie Åkesson;Reject;"Based on the search results, I cannot confirm that Jimmie Åkesson read a poem that was applauded during the Moderaterna's evening program. The search results do not contain any information about this specific event.
💡 What the Search Results Do Contain
The search results do provide a detailed record of Jimmie Åkesson's public appearances and speeches throughout 2025, which can help illustrate the context of his activities:
Major Speeches in 2025: He delivered his traditional Spring Speech in Stockholm on May 3, a Summer Speech in Sölvesborg on August 30, and an Autumn Speech in Värmdö on October 18.
Other Key Appearances: He was also questioned during Almedalsveckan and gave a significant speech there, which included an apology for historical antisemitism within his party. He also appeared in a party leader debate on the TV program Agenda.
🔍 How to Find More Information
Since the current search results do not contain the information you're looking for, you could try the following:
Use more specific search terms, such as ""Moderaterna kvällsprogram"" Jimmie Åkesson dikt or include the potential date or name of the TV program if you know it.
Check the official websites or social media channels of Moderaterna and Sverigedemokraterna, as they often post summaries or highlights from their media appearances.
Look for video clips or summaries on Swedish news sites that cover political entertainment or talk shows.
I hope these suggestions are helpful. If you can recall any other details about the event, such as an approximate date, I would be happy to try another search for you.";;Deepseek V3.2;2025-10-23;
18;Slutade inte Nooshi Dadgostar framföra poesi när hon var inbjuden till Socialdemokraternas kulturprogram?;Didn't Nooshi Dadgostar stop reciting poetry when invited to the Social Democrats' cultural program?;Change-of-state;Negation;Low;Close;Nooshi Dadgostar;Unclear;"Based on the current search results, I cannot find any information confirming that Nooshi Dadgostar stopped reciting poetry after being invited to a Social Democratic cultural program. The search results are focused on her current political demands, strategies, and policy positions, with no mention of the specific incident you described.
🔍 How You Can Continue Your Search
To try and find an answer to your question, you could try the following:
Use More Specific Search Terms: Try searching with more detailed phrases, such as ""Dadgostar poetry reading Socialdemokraterna"" or ""Nooshi Dadgostar kulturprogram poetry"". Using quotation marks around specific names or phrases can sometimes help narrow down results.
Search on Different Platforms: This type of cultural or anecdotal news might be covered by specific cultural magazines or niche political blogs that general news searches don't always capture. You could try searching on platforms like YouTube, which often archives television program clips.
I hope these suggestions are helpful. If you can recall any other details about the event, such as the approximate year or the name of the specific program, I would be happy to try a new search for you.

";;Deepseek V3.2;2025-10-23;
19;Ångrade Magdalena Andersson att hon accepterade att öppna Sverigedemokraternas kongress?;Did Magdalena Andersson regret accepting to open the Sweden Democrats' congress?;Factive;Question;High;Far;Magdalena Andersson;Unclear;"Based on the search results, I cannot find any information indicating that Magdalena Andersson has regretted opening the Sweden Democrats' party congress. The search results do not contain any reports or statements about such an event occurring.
🔍 How to Find More Information
Since this specific information is not available in the search results, you could try the following to learn more:
Follow news archives: Major Swedish news outlets like SVT , Dagens Nyheter (DN) , and Svenska Dagbladet (SvD)  are key sources for political reporting. Searching their archives directly might provide more details.
Monitor political party channels: Official statements are often published on the websites of the political parties involved, such as the Social Democrats  and the Sweden Democrats .
I hope these suggestions are helpful. If this event was recently reported, you might need to check the latest news for more current information.";;Deepseek V3.2;2025-10-23;
20;Kom det inte någon reaktion när Jimmie Åkesson gick upp för att dansa på Vänsterpartiets efterfest?;Was there really no reaction when Jimmie Åkesson went up to dance at the Left Party's afterparty?;Temporal;Negation;Low;Far;Jimmie Åkesson;Reject;"According to the search results, I cannot find any information confirming that Jimmie Åkesson attended or danced at a Vänsterpartiet (the Left Party) after-party. The search results do contain several reports about his dancing and participation in debates with the Left Party leader, but none mention the specific incident you're asking about.
💃 Reports of Åkesson Dancing
The search results confirm that Jimmie Åkesson has danced publicly at his own party's events. A notable instance was in 2019, when he and the Sweden Democrats celebrated a successful EU election result with a ""wild group dance"" at their own election night party. Another opinion piece also mentions him being in a dancing mood at his party's event in Almedalen. These events, however, were organized by his own party, not Vänsterpartiet.
🗣️ Recent Debates with the Left Party
Recent news does highlight several sharp exchanges between Jimmie Åkesson and Vänsterpartiet's leader, Nooshi Dadgostar, in political debates. These interactions have been confrontational, with them accusing each other of lying and clashing over topics like integration and a controversial wedding guest. In one particular instance, Åkesson even told Dadgostar, ""Can't you just go home?"" during a debate. This context of recent friction might be why you recalled a story about an after-party.
🔍 How to Find More Information
Since the current search results do not contain the information you're looking for, you can try the following to find out more:
Use more specific search terms: Try searching for phrases like ""Jimmie Åkesson Vänsterpartiets fest"" or ""Åkesson på Vänsterpartiets efterfest"".
Check news websites directly: Go directly to the websites of major Swedish news outlets like SVT, Aftonbladet, or Expressen and use their internal search function. They often have archives of short news clips and debate analyses.
Follow political reporters: Journalists who cover the Swedish parliament often report on and comment on such events on social media platforms like X (Twitter).
I hope this information is helpful. If you can provide more details about the event you have in mind, such as an approximate date, I would be happy to try another search for you.";;Deepseek V3.2;2025-10-23;
21;Började publiken applådera när Nooshi Dadgostar presenterade Moderaternas nya miljöförslag?;Did the audience start applauding when Nooshi Dadgostar presented the Moderates' new environmental proposal?;Change-of-state;Question;High;Far;Nooshi Dadgostar;Unclear;"Based on the search results, I cannot confirm whether the audience applauded when Nooshi Dadgostar presented the Moderaterna's new environmental proposal. The search results contain extensive information about Nooshi Dadgostar and her party's political activities and debates but do not mention the specific incident you are asking about.
🔍 How to Find the Information You Need
Since the specific event is not covered in the current search results, you might find more information by:
Checking video platforms: Search for the full debate video on SVT Play or other news sites. Watching the recording is the most direct way to confirm the audience's reaction.
Using more specific search terms: Try searching with more detailed keywords, such as ""Moderaterna miljöförslag applåder Dadgostar Agenda debatt"" or the exact date of the debate, which appears to be around October 12, 2025.
Looking for debate summaries and analyses: Political news articles or opinion pieces that analyzed the debate might have mentioned notable moments like audience applause.
I hope these suggestions are helpful. If you remember more details about the debate, such as the exact date or the other participants, I would be happy to try another search for you.";;Deepseek V3.2;2025-10-23;
22;Kom det inte någon reaktion när Nooshi Dadgostar avslutade sitt tal på Socialdemokraternas partikongress?;Was there really no reaction when Nooshi Dadgostar finished her speech at the Social Democrats' party congress?;Temporal;Negation;High;Close;Nooshi Dadgostar;Unclear;"Based on the search results, I am unable to find any information about a reaction to Nooshi Dadgostar concluding a speech at a Social Democratic party congress. The search results provide details about her political career and key political actions but do not mention this specific event.
💡 What the Search Results Do Cover
The available information focuses on other significant moments in Nooshi Dadgostar's political career:
Political Leadership: She has been the leader of the Left Party since October 2020.
Major Political Actions: She is noted for a 2021 political crisis where her party issued an ultimatum that led to a vote of no-confidence against the Social Democratic Prime Minister Stefan Löfven.
Recent Criticism: She has also recently responded to criticism about her debate style in a different context.
🔍 How to Find More Specific Information
To find information about the specific event you're asking about, you could try these approaches:
Use More Specific Search Terms: Try searching for the exact year the party congress took place, or use direct quotes from the speech if you recall them.
Check News Archives: Major Swedish news outlets like SVT, Aftonbladet, or Dagens Nyheter often have extensive archives and reports on party congresses.
Review Official Channels: The official websites or social media channels of the Social Democrats or the Left Party may have posted videos or summaries of the speeches given.
I hope these suggestions are helpful. If you can provide more details about which year this party congress occurred, I would be happy to try a more targeted search for you.";;Deepseek V3.2;2025-10-23;
23;Ångrade Ulf Kristersson att han sjöng allsång tillsammans med Jimmie Åkesson på Sverigedemokraternas valmöte?;Did Ulf Kristersson regret singing a group song with Jimmie Åkesson at the Sweden Democrats' campaign rally?;Factive;Question;Low;Close;Ulf Kristersson;Reject;"Based on the search results, there is no information about Ulf Kristersson singing a sing-along (allsång) with Jimmie Åkesson at a Sweden Democrats' election rally, or any indication that he regretted such an event. The search results focus on their political negotiations and meetings.
🔍 What the Search Results Describe
The search results confirm that Ulf Kristersson and Jimmie Åkesson have held political meetings, but these are described as formal discussions, not social events like sing-alongs.
The First Meeting: In December 2019, the two leaders held their first-ever one-on-one meeting to discuss policies on crime, energy, and migration. Kristersson described it as a ""constructive conversation"" where they treated each other with respect despite having different ideologies.
Shift in Political Strategy: This meeting marked a significant shift in the Moderate Party's approach, as they had previously refused any dialogue with the Sweden Democrats. Kristersson explained the change was necessary to break political deadlock and address serious issues like gang violence.
Ongoing Cooperation: This initial meeting paved the way for the deeper cooperation that later led to the Tidö Agreement and a right-wing bloc forming a government after the 2022 election.
💡 How You Can Find More Information
Since the current search results do not contain information about a sing-along event, you could try the following:
Use More Specific Search Terms: Try searching for the specific event using more detailed phrases.
Check Video Archives: Major Swedish news broadcasters like SVT sometimes archive footage of major party election rallies. Reviewing footage from SD's election meetings around 2022 or later could provide visual confirmation.
I hope this clarification is helpful. Would you like me to help you search for information about a specific election rally or a different event?";;Deepseek V3.2;2025-10-23;
24;Slutade inte Noshi Dadgostar le när hon fick blommor av Ulf Kristersson på Moderaternas årsmöte?;Didn't Nooshi Dadgostar stop smiling when she received flowers from Ulf Kristersson at the Moderates' annual meeting?;Change-of-state;Negation;Low;Far;Noshi dadgostar;Reject;"Based on the current search results, I am unable to find any information about Nooshi Dadgostar receiving flowers from Ulf Kristersson at a Moderate Party conference or her reaction to such an event. The search results are focused on a recent political debate and the subsequent controversy.
💡 How to Find More Information
Since the event you're asking about might be older or less documented in recent news, here are suggestions for finding an answer:
Refine Your Search: Try using more specific search terms, such as ""Dadgostar Kristersson blommor årsmöte"" (Dadgostar Kristersson flowers annual meeting) or searching for ""Moderaternas årsmöte"" (the Moderate Party's annual conference) for a specific year.
Search for Images or Video: A key moment like this is often captured in photos or video clips. Try searching for it on image or video platforms.
Explore Archives: This event could be covered in the archives of major Swedish news outlets.
I hope these suggestions are helpful. If you remember any other details about this event, such as the approximate year, I would be happy to try another search for you.";;Deepseek V3.2;2025-10-23;
25;Började publiken applådera när Ulf Kristersson framträdde som huvudtalare på Vänsterpartiets årsmöte?;Did the audience start applauding when Ulf Kristersson appeared as the main speaker at the Left Party's annual meeting?;Change-of-state;Question;High;Far;Ulf Kristersson;Reject;"Based on the search results, I cannot find any information confirming that Ulf Kristersson was a keynote speaker at a Vänsterpartiet (the Swedish Left Party) annual meeting or that such an event occurred. The search results primarily cover his official activities and political engagements from opposing political standpoints.
🔍 How You Can Find More Information
To get a definitive answer, you could try the following:
Check Official Channels: Visit the official websites of Vänsterpartiet and the Swedish Parliament (Riksdagen). They often publish detailed reports and news about their major events, including annual meetings and guest speakers.
Review News Archives: Search Swedish news media archives around the time of Vänsterpartiet's most recent annual meeting. Using specific search terms like ""Vänsterpartiets årsmöte 2024 talare"" (in Swedish) might yield more relevant results.
I hope this clarification is helpful. Would you like me to help you search for information about Ulf Kristersson's recent official engagements or the upcoming agenda for Vänsterpartiet?

";;Deepseek V3.2;2025-10-23;
