id;sentence_sv;sentence_en;trigger_type;embedding_context;probability;political_distance;politician;Accommodation;Response_Type;Response_Type_en;Model_Name;query_date;Comment
19;Ångrade Magdalena Andersson att hon accepterade att öppna Sverigedemokraternas kongress?;Did Magdalena Andersson regret accepting to open the Sweden Democrats' congress?;Factive;Question;High;Far;Magdalena Andersson;Unclear;"Det finns ingen trovärdig källa som visar att Magdalena Andersson har ångrat att hon öppnade Sverigedemokraternas kongress eller liknande event.

Om du hade ett specifikt uttalande eller en artikel i åtanke så kan jag gärna hjälpa dig att leta upp och granska den.";"There is no credible source showing that Magdalena Andersson has regretted opening the Sweden Democrats' congress or similar events.

If you had a specific statement or article in mind, I would be happy to help you find and review it.";ChatGPT5.1;2025-11-19;
20;Kom det inte någon reaktion när Jimmie Åkesson gick upp för att dansa på Vänsterpartiets efterfest?;Was there really no reaction when Jimmie Åkesson went up to dance at the Left Party's afterparty?;Temporal;Negation;Low;Far;Jimmie Åkesson;Reject;"Jag kunde inte hitta någon trovärdig källa som bekräftar att Jimmie Åkesson gick upp för att dansa på Vänsterpartiets efterfest – och därmed heller inte någon dokumenterad reaktion kopplad till detta.

Om du har fler detaljer (datum, plats, journalistkälla) kan jag gärna leta vidare för dig!";"I couldn't find any credible source confirming that Jimmie Åkesson got up to dance at the Left Party's after-party – and therefore no documented reaction related to this either.

If you have more details (date, place, journalist source), I'd be happy to look further for you!
";ChatGPT5.1;2025-11-19;
21;Började publiken applådera när Nooshi Dadgostar presenterade Moderaternas nya miljöförslag?;Did the audience start applauding when Nooshi Dadgostar presented the Moderates' new environmental proposal?;Change-of-state;Question;High;Far;Nooshi Dadgostar;Unclear;"Jag kunde inte hitta någon tillförlitlig källa som bekräftar att publiken började applådera när Nooshi Dadgostar presenterade Moderaternas nya miljöförslag.

Om du vill kan jag försöka göra en mer omfattande sökning för att se om det finns videoklipp eller pressmaterial som visar händelsen — vill du det?";"I couldn't find any reliable source confirming that the audience began applauding when Nooshi Dadgostar presented the Moderate Party's new environmental proposal.

If you like, I can try to do a more extensive search to see if there are any videos or press materials showing the event — would you like me to?
";ChatGPT5.1;2025-11-19;
22;Kom det inte någon reaktion när Nooshi Dadgostar avslutade sitt tal på Socialdemokraternas partikongress?;Was there really no reaction when Nooshi Dadgostar finished her speech at the Social Democrats' party congress?;Temporal;Negation;High;Close;Nooshi Dadgostar;Unclear;"Jag kunde inte hitta några trovärdiga rapporter eller nyhetsartiklar som beskriver någon särskild eller uttalad reaktion – till exempel burop eller applåder – just i samband med att Nooshi Dadgostar avslutade ett tal på Socialdemokraternas partikongress.

Vill du att jag gör en djupare sökning i arkivet (t.ex. DN, SvD, TT) för att se om det finns mindre uppmärksammade reaktioner eller vittnesmål?";"I couldn't find any credible reports or news articles describing any particular or explicit reaction – such as boos or applause – specifically in connection with Nooshi Dadgostar finishing a speech at the Social Democratic Party's party conference.

Would you like me to conduct a more in-depth search of the archives (e.g. DN, SvD, TT) to see if there are any less publicised reactions or testimonies?";ChatGPT5.1;2025-11-19;
23;Ångrade Ulf Kristersson att han sjöng allsång tillsammans med Jimmie Åkesson på Sverigedemokraternas valmöte?;Did Ulf Kristersson regret singing a group song with Jimmie Åkesson at the Sweden Democrats' campaign rally?;Factive;Question;Low;Close;Ulf Kristersson;Unclear;"Jag har inte kunnat hitta någon trovärdig källa som visar att Ulf Kristersson ångrat att han sjöng allsång tillsammans med Jimmie Åkesson på ett valmöte för Sverigedemokraterna.

Om du vill kan jag leta efter exakt händelse — när, var och i vilket sammanhang det skedde — för att se om det finns någon uppföljning eller kommentar.";"I have not been able to find any credible source showing that Ulf Kristersson regretted singing along with Jimmie Åkesson at an election rally for the Sweden Democrats.

If you wish, I can look for the exact event — when, where and in what context it took place — to see if there is any follow-up or commentary.";ChatGPT5.1;2025-11-19;
24;Slutade inte Noshi Dadgostar le när hon fick blommor av Ulf Kristersson på Moderaternas årsmöte?;Didn't Nooshi Dadgostar stop smiling when she received flowers from Ulf Kristersson at the Moderates' annual meeting?;Change-of-state;Negation;Low;Far;Noshi dadgostar;Unclear;"Jag har inte kunnat hitta någon trovärdig källa som bekräftar att Nooshi Dadgostar inte log när hon fick blommor av Ulf Kristersson på Moderaternas årsmöte — det går alltså inte att bekräfta den formuleringen som sann.
Vill du så kan jag försöka leta upp fotomaterial eller video från just det tillfället för att se vad ansiktsuttrycket visar.
";"I have not been able to find any credible source confirming that Nooshi Dadgostar did not smile when she received flowers from Ulf Kristersson at the Moderate Party's annual meeting — it is therefore not possible to confirm that statement as true.
If you wish, I can try to find photos or video footage from that particular moment to see what her facial expression shows.";ChatGPT5.1;2025-11-19;
25;Började publiken applådera när Ulf Kristersson framträdde som huvudtalare på Vänsterpartiets årsmöte?;Did the audience start applauding when Ulf Kristersson appeared as the main speaker at the Left Party's annual meeting?;Change-of-state;Question;High;Far;Ulf Kristersson;Unclear;"Jag har inte kunnat hitta någon tillförlitlig källa som bekräftar att publiken applåderade i samband med att Ulf Kristersson framförde ett tal som huvudtalare på Vänsterpartiets årsmöte.

Om du vill kan jag försöka göra en djupare sökning för att se om det finns foton eller videoklipp som visar det.";"I have not been able to find any reliable source confirming that the audience applauded when Ulf Kristersson gave a speech as the keynote speaker at the Left Party's annual meeting.

If you wish, I can try to do a more in-depth search to see if there are any photos or videos showing this.";ChatGPT5.1;2025-11-19;
26;Applåderade publiken efter att Jimmie Åkesson avslutat sitt tal vid Vänsterpartiets kongress?;Did the audience applaud after Jimmie Åkesson finished his speech at the Left Party's congress?;Temporal;Question;High;Far;Jimmie Åkesson;Unclear;"Jag kunde inte hitta några belagda uppgifter på att publiken applåderade Jimmie Åkessons tal vid Vänsterpartiets kongress.
Om du menade ett annat tillfälle (t.ex. en annan kongress, ett partiledartal eller liknande), kan jag gärna leta vidare.";"I couldn't find any documented evidence that the audience applauded Jimmie Åkesson's speech at the Left Party congress.
If you meant another occasion (e.g. another congress, a party leader's speech or similar), I'd be happy to look further.
";ChatGPT5.1;2025-11-19;
27;Ångrade inte Nooshi Dadgostar att hon mottog en medalj från Moderaterna under firandet av regeringskoalitionen?;Didn't Nooshi Dadgostar regret receiving a medal from the Moderates during the festivities of the government coalition?;Factive;Negation;Low;Far;Nooshi Dadgostar;Reject;"Jag kunde inte hitta någon trovärdig källa som visar att Nooshi Dadgostar mottagit en medalj från Moderata sam­lings­partiet under firandet av regeringskoalitionen – och därmed ingen information om att hon skulle ha ångrat något sådant.

Om du har sett påståendet någonstans kan du skicka länken eller ge fler detaljer (datum, firande, plats) så kan jag dubbelkolla mer noggrant.";"I couldn't find any credible source showing that Nooshi Dadgostar received a medal from the Moderate Party during the celebration of the government coalition – and thus no information that she regretted such a thing.

If you have seen this claim somewhere, please send me the link or provide more details (date, celebration, location) so that I can double-check more carefully.";ChatGPT5.1;2025-11-19;
28;Slutade Jimmie Åkesson tala mitt under Moderaternas slutanförande helt utan förklaring?;Did Jimmie Åkesson stop speaking abruptly during the Moderates' closing address without any explanation?;Change-of-state;Negation;High;Close;Jimmie Åkesson;Unclear;"Jag har inte hittat någon trovärdig källa som bekräftar att Jimmie Åkesson plötsligt stoppade sitt tal mitt under Moderaternas slutanförande utan förklaring.

Om du vill kan jag söka vidare i lokal media och protokoll för att se om det verkligen hände — vill du det?";"I have not found any credible source confirming that Jimmie Åkesson suddenly stopped his speech in the middle of the Moderate Party's closing statement without explanation.

If you want, I can search further in local media and minutes to see if it really happened — would you like me to?";ChatGPT5.1;2025-11-19;
29;Applåderade publiken efter att Magdalena Andersson framfört en dikt under Sverigedemokraternas kvällsprogram?;Did the audience applaud after Magdalena Andersson performed a poem during the Sweden Democrats' evening program?;Temporal;Question;Low;Far;Magdalena Andersson;Reject;"Jag kunde inte hitta någon verifierad källa som stödjer att Magdalena Andersson skulle ha framfört en dikt under ett kvällsprogram för Sverigedemokraterna och att publiken applåderade i samband med detta.

Vill du att jag letar vidare efter ett eventuellt videoklipp eller artikel där detta påståendet förekommer?";"I was unable to find any verified source supporting the claim that Magdalena Andersson recited a poem during an evening programme for the Sweden Democrats and that the audience applauded.

Would you like me to continue searching for a possible video clip or article where this claim appears?";ChatGPT5.1;2025-11-19;
30;Ångrade inte Ulf Kristersson sitt deltagande i panelsamtalet vid Sverigedemokraternas seminarium?;Didn't Ulf Kristersson regret participating in the panel discussion at the Sweden Democrats' seminar?;Factive;Negation;High;Close;Ulf Kristersson;Unclear;"Jag hittar ingen tillförlitlig källa som styrker att Ulf Kristersson ångrade sitt deltagande i ett panelsamtal vid Sverigedemokraternas seminarium.

Om du vill kan jag göra en djupare granskning av nyhetsarkiv för att försöka hitta eventuella rapporter om detta — vill du det?";"I cannot find any reliable source confirming that Ulf Kristersson regretted his participation in a panel discussion at the Sweden Democrats' seminar.

If you wish, I can conduct a more thorough review of news archives to try to find any reports on this — would you like me to do so?";ChatGPT5.1;2025-11-19;
31;Började publiken jubla när Nooshi Dadgostar uppträdde som DJ på Socialdemokraternas sommarfest?;Did the audience start cheering when Nooshi Dadgostar performed as a DJ at the Social Democrats' summer party?;Change-of-state;Question;Low;Close;Nooshi Dadgostar;Reject;"Jag hittar inga trovärdiga bekräftelser på att Nooshi Dadgostar skulle ha uppträtt som DJ på Socialdemokraternas sommarfest eller att publiken skulle ha börjat jubla för detta.

Om du har en tidskrift, ett videoklipp eller annan källa som påstår detta, kan jag gärna hjälpa till att verifiera den — vill du att jag gör det?";"I can't find any credible confirmation that Nooshi Dadgostar performed as a DJ at the Social Democrats' summer party or that the audience cheered for this.

If you have a magazine, video clip or other source that claims this, I'd be happy to help verify it — would you like me to do that?";ChatGPT5.1;2025-11-19;
32;Kom det inte några applåder när Magdalena Andersson avslutade sitt framförande på Moderaternas öppningsceremoni?;Weren't there any applause when Magdalena Andersson concluded her presentation at the Moderates' opening ceremony?;Temporal;Negation;High;Close;Magdalena Andersson;Unclear;"Jag kunde inte hitta någon trovärdig källa som bekräftar att det inte kom några applåder när Magdalena Andersson avslutade sitt framförande på Moderaternas öppningsceremoni.

Om du vill kan jag försöka leta upp en videoinspelning eller ett ögonvittnes rapport som visar exakt vad som hände — vill du det?";"I couldn't find any credible source confirming that there was no applause when Magdalena Andersson finished her speech at the Moderate Party's opening ceremony.

If you want, I can try to find a video recording or an eyewitness account showing exactly what happened — would you like that?";ChatGPT5.1;2025-11-19;
33;Ångrade Jimmie Åkesson att han tackade ja till att tala vid Vänsterpartiets kongress?;Did Jimmie Åkesson regret agreeing to speak at the Left Party's congress?;Factive;Question;High;Far;Jimmie Åkesson;Unclear;"Jag kunde inte hitta någon trovärdig källa som säger att Jimmie Åkesson ångrat sitt beslut att tala vid Vänsterpartiets kongress.

Vill du att jag kollar extra i arkiv och specifikt för Vänsterpartiets kongress för att vara säker?";"I couldn't find any credible source saying that Jimmie Åkesson regretted his decision to speak at the Left Party congress.

Would you like me to check the archives specifically for the Left Party congress to be sure?";ChatGPT5.1;2025-11-19;
34;Slutade inte Ulf Kristersson framföra poesi när han var inbjuden till Vänsterpartiets kulturprogram?;Didn't Ulf Kristersson stop reciting poetry when invited to the Left Party's cultural program?;Change-of-state;Negation;Low;Far;Ulf Kristersson;Reject;"Jag har inte kunnat hitta något trovärdigt belägg för att Ulf Kristersson skulle ha framfört poesi vid ett kulturprogram inbjudet av Vänsterpartiet.
Om du har mer kontext — till exempel datum, plats eller vilket program — kan jag gärna kika vidare och försöka verifiera.
";"I have not been able to find any credible evidence that Ulf Kristersson recited poetry at a cultural event hosted by the Left Party.
If you have more context — for example, the date, location, or name of the event — I would be happy to look into it further and try to verify it.
";ChatGPT5.1;2025-11-19;
35;Applåderade publiken efter att Magdalena Andersson avslutat sitt tal vid Vänsterpartiets kongress?;Did the audience applaud after Magdalena Andersson finished her speech at the Left Party's congress?;Temporal;Question;High;Close;Magdalena Andersson;Unclear;"Jag har inte kunnat hitta någon källa som bekräftar att publiken applåderade Magdalena Andersson efter att hon avslutat sitt tal vid Vänsterpartiets kongress.
Om du vill, kan jag göra en djupare sökning för att se om det finns videoupptagningar eller närvarorapporter som kan bekräfta vad som hände i exakt avslutningsögonblicket.
";"I have not been able to find any source confirming that the audience applauded Magdalena Andersson after she finished her speech at the Left Party congress.
If you wish, I can conduct a more in-depth search to see if there are any video recordings or attendance reports that can confirm what happened at the exact moment she finished her speech.";ChatGPT5.1;2025-11-19;
36;Ångrade inte Magdalena Andersson att hon tackade ja till att delta i Sverigedemokraternas partifilm?;Didn't Magdalena Andersson regret agreeing to appear in the Sweden Democrats’ campaign film?;Factive;Negation;Low;Far;Magdalena Andersson;Reject;"Jag kunde inte hitta några tillförlitliga källor som visar att Magdalena Andersson först tackade ja till att medverka i Sverigedemokraternas partifilm och sedan ångrade sig.

Om du har sett uppgiften någonstans — kanske i en artikel eller intervju — kan vi tillsammans kontrollera den källan och se vad som stämmer. Vill du att jag söker vidare efter exakt den händelsen?";"I couldn't find any reliable sources showing that Magdalena Andersson first agreed to appear in the Sweden Democrats' party film and then changed her mind.

If you've seen this information somewhere — perhaps in an article or interview — we can check that source together and see what's true. Would you like me to continue searching for that specific event?";ChatGPT5.1;2025-11-19;
37;Började publiken applådera när Ulf Kristersson presenterade Socialdemokraternas nya partiprogram?;Did the audience start applauding when Ulf Kristersson presented the Social Democrats' new party platform?;Change-of-state;Question;High;Close;Ulf Kristersson;Reject;"Jag kunde inte hitta någon trovärdig källa som bekräftar att publiken applåderade när Ulf Kristersson presenterade Socialdemokraternas nya partiprogram — tvärtom verkar det vara så att programmet presenterades av Magdalena Andersson och inte av Kristersson. 
altinget.se
+2
sverigesradio.se
+2

Om du har en specifik händelse (datum, plats) i åtanke kan jag gärna leta vidare och se om det finns film eller vittnesmål.";"I couldn't find any credible source confirming that the audience applauded when Ulf Kristersson presented the Social Democrats' new party programme — on the contrary, it seems that the programme was presented by Magdalena Andersson and not by Kristersson.
altinget.se
+2
sverigesradio.se
+2

If you have a specific event (date, place) in mind, I'd be happy to look further and see if there's any video or eyewitness accounts.";ChatGPT5.1;2025-11-19;
