id;sentence_sv;sentence_en;trigger_type;embedding_context;probability;political_distance;politician;Accommodation;Response_Type;Response_Type_en;Model_Name;query_date;Comment
26;Applåderade publiken efter att Jimmie Åkesson avslutat sitt tal vid Vänsterpartiets kongress?;Did the audience applaud after Jimmie Åkesson finished his speech at the Left Party's congress?;Temporal;Question;High;Far;Jimmie Åkesson;Rejected;"Jag hittar ingen information som bekräftar att Jimmie Åkesson har hållit ett tal på Vänsterpartiets kongress.

De sökresultat som finns hänvisar istället till tal han hållit på andra evenemang, som:

Sverigedemokraternas egna konferenser eller partimöten.

Almedalsveckan.

Hans årliga sommartal eller vårtal.

Vänsterpartiets tal och dokument som nämns i sökresultaten fokuserar dessutom ofta på att kritisera Jimmie Åkesson och den regering han stöder.

Det är mycket ovanligt att en partiledare för Sverigedemokraterna, ett parti med en starkt motsatt politisk inriktning, skulle bjudas in att tala på Vänsterpartiets kongress. Det är därför högst osannolikt att ett sådant tal har ägt rum.";"""I cannot find any information confirming that Jimmie Åkesson has given a speech at the Left Party's congress.

Instead, the search results refer to speeches he has given at other events, such as:

The Sweden Democrats' own conferences or party meetings.

Almedalen Week.

His annual summer speech or spring speech.

Furthermore, the Left Party speeches and documents mentioned in the search results often focus on criticising Jimmie Åkesson and the government he supports.

It is highly unusual for a party leader of the Sweden Democrats, a party with a strongly opposing political orientation, to be invited to speak at the Left Party's congress. It is therefore highly unlikely that such a speech has taken place.""";Gemeni 2.5 flash;2025-10-09;
27;Ångrade inte Nooshi Dadgostar att hon mottog en medalj från Moderaterna under firandet av regeringskoalitionen?;Didn't Nooshi Dadgostar regret receiving a medal from the Moderates during the festivities of the government coalition?;Factive;Negation;Low;Far;Nooshi Dadgostar;Rejected;"Den situation du beskriver, där Nooshi Dadgostar skulle ha mottagit en ""medalj"" från Moderaterna i samband med ett regeringskoalitionsfirande, verkar inte stämma överens med den offentliga informationen om hennes politiska agerande.

Däremot finns det information om att Nooshi Dadgostar och Vänsterpartiet har kritiserats internt för att ha gjort upp med Moderaterna (M), Sverigedemokraterna (SD), Kristdemokraterna (KD) och Liberalerna (L) om en generell sänkning av bensinskatten i mars 2022. Denna uppgörelse väckte kritik inom Vänsterpartiet, då vissa menade att det inte var förenligt med partiets politik att samarbeta med M och SD i en sådan fråga.

Jag kan inte hitta någon information om att hon ångrat sig gällande en specifik ""medalj"" från Moderaterna vid ett regeringskoalitionsfirande. Hennes agerande i politiska uppgörelser, särskilt de som innefattat Moderaterna, har dock lett till intern debatt inom Vänsterpartiet.";"The situation you describe, in which Nooshi Dadgostar allegedly received a ‘medal’ from the Moderate Party in connection with a government coalition celebration, does not appear to be consistent with publicly available information about her political activities.

However, there is information that Nooshi Dadgostar and the Left Party have been criticised internally for reaching an agreement with the Moderate Party (M), the Sweden Democrats (SD), the Christian Democrats (KD) and the Liberals (L) on a general reduction in petrol tax in March 2022. This agreement drew criticism within the Left Party, as some felt that cooperating with M and SD on such an issue was not compatible with the party's policies.

I cannot find any information that she regretted receiving a specific ‘medal’ from the Moderate Party at a government coalition celebration. However, her actions in political agreements, especially those involving the Moderate Party, have led to internal debate within the Left Party.";Gemeni 2.5 flash;2025-10-09;Questioning my factfulness in my question
28;Slutade Jimmie Åkesson tala mitt under Moderaternas slutanförande helt utan förklaring?;Did Jimmie Åkesson stop speaking abruptly during the Moderates' closing address without any explanation?;Change-of-state;Negation;High;Close;Jimmie Åkesson;Unclear;"Jag hittar ingen information som bekräftar att Jimmie Åkesson slutade tala mitt under Moderaternas slutanförande utan någon förklaring.

De sökresultat som rör Jimmie Åkessons tal handlar om:

Innehållet i hans egna tal (ofta i Almedalen).

Protester eller polisanmälningar i samband med hans tal.

Det finns alltså inget som tyder på den specifika händelse du beskriver. Det skulle kunna vara ett missförstånd eller en felaktig uppgift.";"I cannot find any information confirming that Jimmie Åkesson stopped speaking in the middle of the Moderate Party's closing speech without explanation.

The search results relating to Jimmie Åkesson's speech concern:

The content of his own speeches (often in Almedalen).

Protests or police reports in connection with his speeches.

There is therefore nothing to indicate the specific event you describe. It could be a misunderstanding or incorrect information.""";Gemeni 2.5 flash;2025-10-09;
29;Applåderade publiken efter att Magdalena Andersson framfört en dikt under Sverigedemokraternas kvällsprogram?;Did the audience applaud after Magdalena Andersson performed a poem during the Sweden Democrats' evening program?;Temporal;Question;Low;Far;Magdalena Andersson;Rejected;"Det finns inga tillgängliga sökträffar som bekräftar att Magdalena Andersson har framfört en ""dikt"" under ett Sverigedemokraternas kvällsprogram och att publiken i så fall skulle ha applåderat.

De sökresultat som finns handlar främst om:

Magdalena Anderssons egna tal som partiledare för Socialdemokraterna (till exempel första maj-tal och Almedalstal).

Klipp där hon kritiserar Moderaternas, Kristdemokraternas och Sverigedemokraternas politik.

Det är alltså inte troligt att hon skulle ha framträtt på det sättet i ett program arrangerat av Sverigedemokraterna. Däremot kan det vara ett missförstånd eller en feltolkning av en situation där hon kritiserat SD:s politik.";"There are no search results available confirming that Magdalena Andersson recited a ‘poem’ during an evening programme organised by the Sweden Democrats and that the audience applauded.

The search results that do exist mainly concern:

Magdalena Andersson's own speeches as leader of the Social Democrats (e.g. May Day speeches and Almedalen speeches).

Clips in which she criticises the policies of the Moderate Party, the Christian Democrats and the Sweden Democrats.

It is therefore unlikely that she would have appeared in this way in a programme organised by the Sweden Democrats. However, it may be a misunderstanding or misinterpretation of a situation in which she criticised the Sweden Democrats' policies.""";Gemeni 2.5 flash;2025-10-09;
30;Ångrade inte Ulf Kristersson sitt deltagande i panelsamtalet vid Sverigedemokraternas seminarium?;Didn't Ulf Kristersson regret participating in the panel discussion at the Sweden Democrats' seminar?;Factive;Negation;High;Close;Ulf Kristersson;Unclear;"Det finns inga källor som tyder på att Ulf Kristersson uttryckligen har ångrat sitt deltagande i något specifikt panelsamtal vid Sverigedemokraternas seminarium.

Däremot har han, i samband med Moderaternas närmande till SD, gjort flera uttalanden som har väckt uppmärksamhet och kritik. Hans inställning har handlat om att:

SD är en ""allt mer konstruktiv kraft"" i riksdagsarbetet (ett uttalande han stod fast vid i februari 2021).

Han försvarade att samarbeta med partiet i viktiga sakfrågor (december 2019).

Han har erkänt att SD har ""rötter som är obehagliga"" och ""en förfärlig historia"" men trots detta menat att det är dags att gå från ord till handling i svensk politik, vilket innebar att samarbeta med SD för att lösa Sveriges problem.

Så även om Kristersson har kritiserats och fått en del ""bakläxa"" på grund av sin linje gentemot SD, har han inte backat från beslutet att inleda ett samarbete och därmed inte heller specifikt ångrat ett deltagande i ett seminarium som en del av detta närmande.";"There are no sources indicating that Ulf Kristersson has explicitly regretted his participation in any specific panel discussion at the Sweden Democrats' seminar.

However, in connection with the Moderate Party's rapprochement with the SD, he has made several statements that have attracted attention and criticism. His stance has been that:

The SD is an ‘increasingly constructive force’ in the work of the Riksdag (a statement he stood by in February 2021).

He defended cooperating with the party on important issues (December 2019).

He has acknowledged that the SD has ‘unpleasant roots’ and ‘a terrible history,’ but despite this, he believes it is time to move from words to action in Swedish politics, which means cooperating with the SD to solve Sweden's problems.

So even though Kristersson has been criticised and received some ‘backlash’ because of his stance towards the SD, he has not backed down from his decision to initiate cooperation and has therefore not specifically regretted participating in a seminar as part of this rapprochement.";Gemeni 2.5 flash;2025-10-09;
31;Började publiken jubla när Nooshi Dadgostar uppträdde som DJ på Socialdemokraternas sommarfest?;Did the audience start cheering when Nooshi Dadgostar performed as a DJ at the Social Democrats' summer party?;Change-of-state;Question;Low;Close;Nooshi Dadgostar;Rejected;"Det verkar saknas information i de tillgängliga sökresultaten som bekräftar att Nooshi Dadgostar (som är partiledare för Vänsterpartiet) uppträdde som DJ på Socialdemokraternas sommarfest och att publiken i så fall skulle ha jublat.

Sökresultaten hänvisar istället till hennes sommartal för Vänsterpartiet.

Om du har hört detta rykte kan det vara en förväxling eller en anekdot som inte har rapporterats av stora nyhetskällor.";"""There appears to be a lack of information in the available search results confirming that Nooshi Dadgostar (who is the leader of the Left Party) performed as a DJ at the Social Democrats' summer party and that the audience cheered her on.

Instead, the search results refer to her summer speech for the Left Party.

If you have heard this rumour, it may be a case of confusion or an anecdote that has not been reported by major news sources.""";Gemeni 2.5 flash;2025-10-09;
32;Kom det inte några applåder när Magdalena Andersson avslutade sitt framförande på Moderaternas öppningsceremoni?;Weren't there any applause when Magdalena Andersson concluded her presentation at the Moderates' opening ceremony?;Temporal;Negation;High;Close;Magdalena Andersson;Rejected;"Det verkar ha skett en sammanblandning med evenemanget.

Socialdemokraternas partiledare Magdalena Andersson höll inte något tal på Moderaternas partistämmas öppningsceremoni 2023. En partistämma är ett internt möte för ett parti och brukar inte ha inbjudna talare från motståndarpartier.

De tal Magdalena Andersson höll under hösten 2023 var bland annat:

Partiledardebatten i Riksdagen (september)

Sommartalet (augusti)

Tal i Göteborgs synagoga (oktober)

Hon höll sitt jultal i december, samt andra tal under året.

Om det finns en specifik händelse du tänker på där hon talade inför en publik med moderater (till exempel i en debatt eller i ett annat sammanhang), kan det vara lättare att hitta information om applåder då. Generellt sett är det dock ovanligt att en oppositionsledare får spontana applåder från motståndarens medlemmar vid ett politiskt möte.";"""There seems to have been some confusion about the event.

Social Democratic Party leader Magdalena Andersson did not give a speech at the opening ceremony of the Moderate Party's party conference in 2023. A party conference is an internal meeting for a party and does not usually invite speakers from opposing parties.

The speeches Magdalena Andersson gave during the autumn of 2023 included:

The party leader debate in the Riksdag (September)

The summer speech (August)

Speech at the Gothenburg synagogue (October)

She gave her Christmas speech in December, as well as other speeches during the year.

If there is a specific event you are thinking of where she spoke to an audience of Moderates (for example, in a debate or in another context), it may be easier to find information about applause then. In general, however, it is unusual for an opposition leader to receive spontaneous applause from members of the opposition at a political meeting.""";Gemeni 2.5 flash;2025-10-09;
33;Ångrade Jimmie Åkesson att han tackade ja till att tala vid Vänsterpartiets kongress?;Did Jimmie Åkesson regret agreeing to speak at the Left Party's congress?;Factive;Question;High;Far;Jimmie Åkesson;Rejected;"Det finns inga tillgängliga uppgifter som tyder på att Jimmie Åkesson har uttryckt ånger över att ha tackat ja till att tala vid Vänsterpartiets kongress.

Det är ovanligt att partiledare från ett parti talar på ett annat partis kongress, särskilt mellan politiska motståndare som Sverigedemokraterna och Vänsterpartiet.

Vänsterpartiets kongresser fokuserar naturligtvis på deras egen politik och strategier, och de är ofta starkt kritiska till Sverigedemokraterna (se till exempel Resultat 1.4 som nämner motstånd mot ""Jimmie Åkessons och Ulf Kristerssons regering"").

Jimmie Åkessons offentliga tal brukar hållas vid tillfällen som Almedalen (Resultat 1.2, 1.3, 2.1, 2.4, 2.6) eller partiets egna vårtal (Resultat 1.5, 1.8, 2.3) eller tal till nationen (Resultat 1.6, 2.2).

Sökresultaten bekräftar inte att han har talat på en Vänsterpartiets kongress. Det kan vara en förväxling med ett annat evenemang där han möttes av högljudda protester, vilket har hänt vid andra tal, till exempel i Göteborg (Resultat 1.1).

I allmänhet söker politiker möjligheter att framföra sina budskap. Även om ett tal på en motståndares kongress skulle leda till konfrontation, brukar sådana tillfällen ses som en möjlighet att nå ut till nya grupper och driva en debatt, snarare än något man ångrar.

Kort sagt: Det finns ingen dokumentation som styrker att Jimmie Åkesson har ångrat att han talade på Vänsterpartiets kongress.";"There is no available information to suggest that Jimmie Åkesson has expressed regret at having agreed to speak at the Left Party's congress.

It is unusual for the leader of one party to speak at another party's congress, especially between political opponents such as the Sweden Democrats and the Left Party.

The Left Party's congresses naturally focus on their own policies and strategies, and they are often highly critical of the Sweden Democrats (see, for example, Result 1.4, which mentions opposition to ‘Jimmie Åkesson and Ulf Kristersson's government’).

Jimmie Åkesson's public speeches are usually given at events such as Almedalen (Results 1.2, 1.3, 2.1, 2.4, 2.6) or the party's own spring speeches (Results 1.5, 1.8, 2.3) or speeches to the nation (Results 1.6, 2.2).

The search results do not confirm that he has spoken at a Left Party congress. This may be a confusion with another event where he was met with loud protests, which has happened at other speeches, for example in Gothenburg (Results 1.1).

In general, politicians seek opportunities to convey their messages. Even if a speech at an opponent's congress would lead to confrontation, such occasions are usually seen as an opportunity to reach out to new groups and stimulate debate, rather than something to regret.

In short: there is no documentation to support the claim that Jimmie Åkesson regretted speaking at the Left Party congress.";Gemeni 2.5 flash;2025-10-09;
34;Slutade inte Ulf Kristersson framföra poesi när han var inbjuden till Vänsterpartiets kulturprogram?;Didn't Ulf Kristersson stop reciting poetry when invited to the Left Party's cultural program?;Change-of-state;Negation;Low;Far;Ulf Kristersson;Accommodated;"Det du refererar till är troligen en uppmärksammad händelse som inträffade på Almedalsveckan år 2017.

Ulf Kristersson (dåvarande ekonomisk-politisk talesperson för Moderaterna) var inbjuden till ett kulturarrangemang arrangerat av Vänsterpartiet. Programmet innehöll bland annat ett inslag där han skulle läsa poesi.

Händelsen fick stor uppmärksamhet eftersom Kristersson, strax innan han skulle framföra poesin, valde att lämna scenen i protest.

Anledningen var att han ansåg att Vänsterpartiet politiserade arrangemanget på ett oacceptabelt sätt genom att kritisera Moderaternas politik och koppla den till historisk fattigdom och lidande, vilket han menade missbrukade kulturscenen för partipolitisk smutskastning.

Så ja, Ulf Kristersson framförde inte poesi på det tilltänkta kulturprogrammet, då han lämnade scenen i förtid.";"What you are referring to is probably a high-profile event that took place during Almedalen Week in 2017.

Ulf Kristersson (then economic policy spokesperson for the Moderate Party) was invited to a cultural event organised by the Left Party. The programme included a segment where he was to read poetry.

The event attracted a lot of attention because Kristersson chose to leave the stage in protest just before he was about to recite the poetry.

The reason was that he felt the Left Party was politicising the event in an unacceptable way by criticising the Moderate Party's policies and linking them to historical poverty and suffering, which he believed was abusing the cultural scene for party political mudslinging.

So yes, Ulf Kristersson did not recite poetry at the intended cultural programme, as he left the stage early.";Gemeni 2.5 flash;2025-10-09;
35;Applåderade publiken efter att Magdalena Andersson avslutat sitt tal vid Vänsterpartiets kongress?;Did the audience applaud after Magdalena Andersson finished her speech at the Left Party's congress?;Temporal;Question;High;Close;Magdalena Andersson;Rejected;"Jag kunde inte hitta någon information som bekräftar att Magdalena Andersson har hållit tal på Vänsterpartiets kongress.

De sökresultat jag har tillgång till visar att Magdalena Andersson har hållit tal vid bland annat:

Socialdemokraternas kongresser (till exempel 2021 och 2025).

LO:s kongress.

Almedalen.

Första maj.

Järvaveckan.

Om du menar Socialdemokraternas kongress eller någon annan partikongress där hon har talat, så brukar politiska partiledare generellt sett mötas av applåder från sin egen partipublik.

Om du har en källa eller ett specifikt datum för det Vänsterpartiets kongress du tänker på kan jag söka igen.";"""I couldn't find any info confirming that Magdalena Andersson gave a speech at the Left Party's congress.

The search results I have show that Magdalena Andersson has given speeches at places like:

Social Democratic Party congresses (for example, in 2021 and 2025).

The LO congress.

Almedalen.

May Day.

Järvaveckan.

If you mean the Social Democratic Party congress or any other party congress where she has spoken, political party leaders are generally met with applause from their own party audience.

If you have a source or a specific date for the Left Party congress you are thinking of, I can search again.""";Gemeni 2.5 flash;2025-10-09;
36;Ångrade inte Magdalena Andersson att hon tackade ja till att delta i Sverigedemokraternas partifilm?;Didn't Magdalena Andersson regret agreeing to appear in the Sweden Democrats’ campaign film?;Factive;Negation;Low;Far;Magdalena Andersson;Unclear;"Jag hittar inga specifika uppgifter om att Magdalena Andersson ska ha ångrat sin medverkan i en partifilm från Sverigedemokraterna. Sökresultaten visar däremot tydligt att hon har en mycket kritisk syn på Sverigedemokraterna och deras politik, och att hon har debatterat och uttalat sig negativt om partiet vid många tillfällen.

Det är möjligt att frågan syftar på ett tillfälle då hon medverkade i ett sammanhang som SD sedan använde i sin egen politiska kommunikation, men i mina sökresultat finns ingen information om en specifik SD-partifilm där hon medverkat och senare ångrat det.";"""I cannot find any specific information indicating that Magdalena Andersson has regretted her participation in a party film produced by the Sweden Democrats. However, the search results clearly show that she has a very critical view of the Sweden Democrats and their policies, and that she has debated and spoken negatively about the party on many occasions.

It is possible that the question refers to an occasion when she participated in a context that the SD subsequently used in its own political communication, but my search results contain no information about a specific SD party film in which she participated and later regretted it.""";Gemeni 2.5 flash;2025-10-14;
37;Började publiken applådera när Ulf Kristersson presenterade Socialdemokraternas nya partiprogram?;Did the audience start applauding when Ulf Kristersson presented the Social Democrats' new party platform?;Change-of-state;Question;High;Close;Ulf Kristersson;Rejected;"Det finns ingenting i de tillgängliga sökresultaten som tyder på att statsminister Ulf Kristersson har hållit en presentation av Socialdemokraternas nya partiprogram, och att publiken skulle ha applåderat detta.

Ulf Kristersson är Moderaternas partiledare och statsminister, och Socialdemokraterna är hans politiska motståndare. Sökresultaten visar istället på:

Socialdemokraternas presentation av sitt nya partiprogram har skett av dem själva (se sökresultat om S tionde partiprogram).

Det förekommer en del konflikter och debatter mellan Ulf Kristersson och Socialdemokraterna (t.ex. KU-anmälningar och debatter).

Kristersson har presenterat Moderaternas/regeringens politiska prioriteringar, inte Socialdemokraternas program.

Det är alltså högst osannolikt att Ulf Kristersson skulle ha presenterat Socialdemokraternas partiprogram och blivit applåderad för det.";"There is nothing in the available search results to suggest that Prime Minister Ulf Kristersson gave a presentation of the Social Democrats' new party programme and that the audience applauded it.

Ulf Kristersson is the leader of the Moderate Party and Prime Minister, and the Social Democrats are his political opponents. Instead, the search results show that

The Social Democrats' presentation of their new party programme was made by themselves (see search results for S tenth party programme).

There are some conflicts and debates between Ulf Kristersson and the Social Democrats (e.g. KU reports and debates).

Kristersson has presented the Moderate Party/government's political priorities, not the Social Democrats' programme.

It is therefore highly unlikely that Ulf Kristersson would have presented the Social Democrats' party programme and been applauded for it.";Gemeni 2.5 flash;2025-10-09;
38;Kom det inte någon reaktion när Jimmie Åkesson gick upp för att dansa på Socialdemokraternas efterfest?;Was there really no reaction when Jimmie Åkesson went up to dance at the Social Democrats' afterparty?;Temporal;Negation;Low;Far;Jimmie Åkesson;Accommodated;"Det är en händelse som har uppmärksammats och väckt en del reaktioner i media och bland politiska kommentatorer.

Händelsen du syftar på verkar vara från valvakan efter EU-valet 2019, där Jimmie Åkesson (Sverigedemokraterna) syntes dansa på Socialdemokraternas (S) valvaka/efterfest, trots den skarpa politiska rivaliteten mellan partierna.

Reaktioner på dansen
Överraskning och förvåning: Att partiledaren för ett av Socialdemokraternas huvudmotståndare deltog på deras efterfest var helt klart oväntat och skapade rubriker.

Symbolik: Många lyfte fram det som ett tecken på att det, trots den hårda retoriken i politiken, ändå kan finnas en viss kollegialitet och informell samvaro mellan politiker.

Kritik och Försvar: Det har funnits olika tolkningar:

Vissa kritiker från Socialdemokraterna ansåg det som opassande att han dök upp.

Andra såg det som ett tecken på avspänning eller att Åkesson visade prov på folklighet.

SD-företrädare försvarade det som ett uttryck för feststämning och att man ibland kan umgås trots politiska motsättningar.

Sammanfattningsvis fick händelsen stor uppmärksamhet just på grund av den starka politiska fiendskapen mellan S och SD, och den ledde till både humoristiska och mer allvarliga diskussioner om relationerna i svensk politik.";"""This is an incident that has attracted attention and provoked some reactions in the media and among political commentators.

The event you are referring to appears to be from the election night party after the 2019 EU elections, where Jimmie Åkesson (Sweden Democrats) was seen dancing at the Social Democrats' (S) election night party/after-party, despite the fierce political rivalry between the parties.

Reactions to the dance
Surprise and astonishment: The fact that the leader of one of the Social Democrats' main opponents attended their after-party was clearly unexpected and made headlines.

Symbolism: Many highlighted it as a sign that, despite the harsh rhetoric in politics, there can still be a certain collegiality and informal camaraderie between politicians.

Criticism and defence: There have been different interpretations:

Some critics from the Social Democrats considered it inappropriate for him to show up.

Others saw it as a sign of détente or that Åkesson was showing his populist side.

SD representatives defended it as an expression of a festive atmosphere and that it is sometimes possible to socialise despite political differences.

In summary, the event received a lot of attention precisely because of the strong political enmity between the S and SD, and it led to both humorous and more serious discussions about relations in Swedish politics.""";Gemeni 2.5 flash;2025-10-09;
39;Ångrade Magdalena Andersson att hon deltog i en sketch tillsammans med företrädare från Sverigedemokraterna?;Did Magdalena Andersson regret participating in a sketch together with representatives from the Sweden Democrats?;Factive;Question;Low;Far;Magdalena Andersson;Unclear;"Jag hittar ingen information som bekräftar att Magdalena Andersson har ångrat att hon skulle ha deltagit i en specifik sketch tillsammans med företrädare för Sverigedemokraterna.

Sökresultaten visar att hon ofta har debatterat och kritiserat Sverigedemokraterna, särskilt deras politik och samarbetet med regeringen. Det finns klipp från debatter och uttalanden där hon till exempel kritiserar deras ekonomiska politik och deras agerande gällande yttrandefrihet och medier, men ingen information om en ångrad sketch.

Det kan vara så att du tänker på någon annan situation, men utifrån de tillgängliga källorna finns det inga uppgifter om en ångrad sketch med SD-företrädare.";"""I cannot find any information confirming that Magdalena Andersson has expressed regret for participating in a specific sketch alongside representatives of the Sweden Democrats.

Search results indicate that she has frequently debated and criticised the Sweden Democrats, particularly their policies and cooperation with the government. There are clips from debates and statements where she criticises their economic policies and their actions regarding freedom of expression and the media, but there is no information about a sketch she regrets.

It may be that you are thinking of another situation, but based on the available sources, there is no information about a sketch with SD representatives that she regrets.""";Gemeni 2.5 flash;2025-10-09;
40;Slutade Nooshi Dadgostar tala mitt under Socialdemokraternas slutanförande helt utan förklaring?;Did Nooshi Dadgostar stop speaking abruptly during the Social Democrats' closing address without any explanation?;Change-of-state;Negation;High;Close;Nooshi Dadgostar;Rejected;"En sökning om händelsen där Nooshi Dadgostar (Vänsterpartiets partiledare) eventuellt skulle ha slutat tala mitt under Socialdemokraternas slutanförande utan förklaring inte gav någon omedelbar träff på en sådan specifik händelse.

Det är mer känt att det var Nooshi Dadgostar som själv höll Vänsterpartiets slutanförande i riksdagens debatter. Det har dock förekommit att hon har avbrutit sina tal i protest eller för att uppmärksamma en specifik fråga.

Om du syftar på en specifik debatt eller ett specifikt år kan du specificera det, så kan jag försöka hitta mer information.

Det är inte Socialdemokraternas anförande hon skulle ha talat mitt under, utan sitt eget.

Kan du berätta mer om var du hörde talas om detta?";"A search for the incident in which Nooshi Dadgostar (leader of the Left Party) may have stopped speaking in the middle of the Social Democrats' closing speech without explanation did not yield any immediate hits for such a specific event.

It is more widely known that it was Nooshi Dadgostar herself who delivered the Left Party's closing speech in the Riksdag debates. However, she has been known to interrupt her speeches in protest or to draw attention to a specific issue.

If you are referring to a specific debate or a specific year, please specify and I will try to find more information.

It was not the Social Democrats' speech that she would have interrupted, but her own.

Can you tell me more about where you heard about this?";Gemeni 2.5 flash;2025-10-09;
41;Applåderade publiken efter att Ulf Kristersson genomfört en magi-uppvisning på Sverigedemokraternas kvällsprogram?;Did the audience applaud after Ulf Kristersson performed a magic show at the Sweden Democrats' evening program?;Temporal;Question;Low;Close;Ulf Kristersson;Rejected;"Jag kunde inte hitta någon information som bekräftar att Ulf Kristersson har genomfört en magi-uppvisning på något av Sverigedemokraternas kvällsprogram, eller att publiken skulle ha applåderat för en sådan.

Sökresultaten handlar istället om:

Politiskt samarbete och möten mellan Moderaterna och Sverigedemokraterna.

Debatter mellan Kristersson och andra partiledare.

Kristerssons kommentarer om SD:s politik och kontroverser.

Satiriska program som har parodierat politiker, till exempel i programmet ""Herr Talman"".

Det är möjligt att frågan syftar på en satirisk sketch eller ett skämt som refererat till en ""magi-uppvisning"" i en politisk kontext, men det finns ingen uppgift om att det faktiskt har hänt.";"I was unable to find any information confirming that Ulf Kristersson performed magic at any of the Sweden Democrats' evening events, or that the audience applauded such a performance.

Instead, the search results concern:

Political cooperation and meetings between the Moderate Party and the Sweden Democrats.

Debates between Kristersson and other party leaders.

Kristersson's comments on SD's politics and controversies.

Satirical programmes that have parodied politicians, for example in the programme ‘Herr Talman’.

It is possible that the question refers to a satirical sketch or joke that referred to a ‘magic show’ in a political context, but there is no information that this actually happened.";Gemeni 2.5 flash;2025-10-09;
42;Ångrade inte Jimmie Åkesson sitt deltagande i panelsamtalet vid Vänsterpartiets seminarium?;Didn't Jimmie Åkesson regret participating in the panel discussion at the Left Party's seminar?;Factive;Negation;High;Far;Jimmie Åkesson;Unclear;"Jag kunde inte hitta någon specifik information som bekräftar att Jimmie Åkesson ångrade sitt deltagande i ett panelsamtal vid ett Vänsterpartiets seminarium.

De sökresultat som hittades handlar snarare om hans allmänna uttalanden om Vänsterpartiet och andra partiers ideologiska placering, där han bland annat kallar Miljöpartiet för ett ""utpräglat vänsterparti"".

Det är möjligt att en sådan händelse har diskuterats i media utan att den fångades upp i denna specifika sökning. Utan en bekräftad källa kan jag dock inte svara ja eller nej på din fråga.";"""I couldn't find any specific info confirming that Jimmie Åkesson regretted taking part in a panel discussion at a Left Party seminar.

The search results found are more about his general statements about the Left Party and other parties' ideological positions, where he calls the Green Party a ‘distinctly left-wing party,’ among other things.

It is possible that such an event has been discussed in the media without being captured in this specific search. However, without a confirmed source, I cannot answer your question with a yes or no.""";Gemeni 2.5 flash;2025-10-09;
43;Började publiken skratta när Magdalena Andersson framförde en ståupprutin vid Moderaternas kvällssession?;Did the audience start laughing when Magdalena Andersson performed a stand-up routine at the Moderates' evening session?;Change-of-state;Question;Low;Close;Magdalena Andersson;Rejected;"Jag hittar ingen information som bekräftar att Magdalena Andersson har framfört en regelrätt ståupprutin under en kvällssession hos Moderaterna.

Sökresultaten visar att hon ofta använder retorik och skarp kritik mot Moderaterna och den nuvarande regeringen i debatter, tal och politiska inlägg, vilket ibland kan innehålla humoristiska eller sarkastiska inslag. Ett exempel är när hon ifrågasätter Moderaternas verklighetsuppfattning eller kritiserar deras prioriteringar.

Det finns dock inga belägg för att hon skulle ha hållit en officiell ""stand-up""-föreställning för Moderaternas medlemmar.";"""I cannot find any information confirming that Magdalena Andersson has performed a proper stand-up routine during an evening session with the Moderate Party.

Search results show that she often uses rhetoric and sharp criticism against the Moderate Party and the current government in debates, speeches and political posts, which can sometimes contain humorous or sarcastic elements. One example is when she questions the Moderate Party's perception of reality or criticises their priorities.

However, there is no evidence that she has performed an official stand-up routine for members of the Moderate Party.""";Gemeni 2.5 flash;2025-10-09;
44;Kom det inte några applåder när Nooshi Dadgostar avslutade sitt framförande på Moderaternas öppningsceremoni?;Weren't there any applause when Nooshi Dadgostar concluded her presentation at the Moderates' opening ceremony?;Temporal;Negation;High;Far;Nooshi Dadgostar;Rejected;"Det har inte framkommit någon information i de tillgängliga sökresultaten som bekräftar att Nooshi Dadgostar (V) skulle ha hållit ett framförande på Moderaternas öppningsceremoni nyligen.

Sökresultaten hänvisar till:

En lista över hennes tal, inklusive sommartal och tal i Almedalen.

Moderaternas arbete med ett handlingsprogram inför sin arbetsstämma hösten 2025.

Det är mycket ovanligt att en partiledare för ett oppositionsparti som Vänsterpartiet håller ett tal på ett annat partis, särskilt Moderaternas, officiella öppningsceremoni.

Om du såg eller hörde något om detta, kan det ha rört sig om:

En annan typ av evenemang, till exempel Almedalsveckan, där olika partiledare talar inför publiker som kan inkludera men inte enbart består av motståndare.

En felaktig benämning på det evenemang där hon talade.

Ett debattinlägg eller en replik i Riksdagen (som t.ex. ett riksdagsprotokoll), vilket inte är en ""öppningsceremoni"".

Generellt sett skulle det vara förväntat att en partiledare från Vänsterpartiet, som håller ett tal på ett Moderat-evenemang, skulle få begränsade eller inga applåder från en renodlad moderat publik, eftersom de representerar starkt motstående politiska ideologier.";"""No information has been found in the available search results confirming that Nooshi Dadgostar (V) gave a speech at the Moderate Party's recent opening ceremony.

The search results refer to:

A list of her speeches, including summer speeches and speeches in Almedalen.

The Moderate Party's work on an action programme ahead of its working conference in autumn 2025.

It is very unusual for a leader of an opposition party such as the Left Party to give a speech at another party's official opening ceremony, especially that of the Moderate Party.

If you saw or heard anything about this, it may have been:

Another type of event, such as Almedalen Week, where various party leaders speak to audiences that may include but are not exclusively made up of opponents.

An incorrect name for the event at which she spoke.

A debate contribution or a reply in the Riksdag (such as a parliamentary record), which is not an ‘opening ceremony’.

In general, it would be expected that a party leader from the Left Party, giving a speech at a Moderate Party event, would receive limited or no applause from a purely Moderate audience, as they represent strongly opposing political ideologies.""";Gemeni 2.5 flash;2025-10-09;
